"","Dog breed","category","popularity ranking (1-173, 1 = most popular)","intelligence ranking","intelligence category","repetitions to understand new commands","obey first command (% of time)","life expectancy (years)","survey sample size","congenital ailments: summary / areas affected","No.","congenital ailments: detail","cuteness rating (adults)","total lifetime cost, $","average price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per lifetime, $","total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","grooming required","suitability for children","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link",""
"1","Affenpinscher","toy","139.0","37.0","Above average","15-25",">70","11.42","21.0","none","0.0","none","4.0","14803.44858","510","budget","200.0","800.0","4","4.0","4.0","4.97266","2963.044245","11130.40433","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","small",NA,NA,"26.035","10.25",NA,NA,NA,NA
"2","Afghan Hound","hound","88.0","80.0","Lowest","80-100","<25","11.92","154.0","none","0.0","none","2.0","19473.16973","890","mid-price","450.0","1000.0","8.75","7.5","10.0","10.87769375","6765.444718","11617.72501","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","large","24.94758035","55","66.04","26",NA,NA,NA,NA
"3","Airedale Terrier","terrier","55.0","29.0","Above average","15-25",">70","11.45","307.0","hip problems","1.0","hip dysplasia","4.0",NA,"732.5","mid-price","475.0","1200.0",NA,NA,NA,NA,NA,"11159.64357","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"58.42","23.0",NA,NA,NA,NA
"4","Akita","working","47.0","54.0","Average","25-40",">50","10.16","192.0","hip problems","1.0","hip dysplasia","2.0","17070.37621","1201.5","mid-price","565.0","1800.0","8.75","7.5","10.0","10.87769375","5766.519995","9902.356218","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","low","large",NA,NA,"66.04","26",NA,NA,NA,NA
"5","Alaskan Malamute","working","58.0","50.0","Average","25-40",">50","10.67","14.0","hip problems, dwarfism","2.0","Hip dysplasia, Osteochondrodysplasia - skeletal dwarfism","3.0","17864.90445","1209.5","mid-price","550.0","2350.0","8.75","7.5","10.0","10.87769375","6055.981136","10399.42331","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","medium","large","36.2873896","80","60.96","24","Longevity based on UK KC Survey 2004","UK Kennel Club survey 2004","http://www.thekennelclub.org.uk/item/549",NA
"6","American English Coonhound","hound","33.0",NA,NA,NA,NA,NA,"-",NA,NA,NA,"2.0",NA,"283.3333333","budget","100.0","350.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"62.23","24.5","6 dogs for sale only",NA,NA,NA
"7","American Eskimo Dog","non-sporting","116.0",NA,NA,NA,NA,NA,"-","none","0.0","none","3.0",NA,"560","budget","300.0","950.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"35.56","14",NA,NA,NA,NA
"8","American Foxhound","hound","173.0","46.0","Average","25-40",">50",NA,"-",NA,NA,NA,"3.0",NA,"757.1428571","mid-price","250.0","1000.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"58.42","23","Price: only 7 puppies listed for this breed",NA,NA,NA
"9","American Staffordshire Terrier","terrier","72.0","34.0","Above average","15-25",">70",NA,"-","skin problems","1.0","Demodicosis/ Demodectic mange","1.0",NA,"1043","mid-price","250.0","1500.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"45.72","18",NA,NA,NA,NA
"10","American Water Spaniel","sporting","157.0","44.0","Average","25-40",">50",NA,"-","none","0.0","none","3.0",NA,"730","mid-price","600.0","1250.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium","15.87573295","35","41.91","16.5",NA,NA,NA,NA
"11","Anatolian Shepherd Dog","working","111.0",NA,NA,NA,NA,"10.75","23.0",NA,NA,NA,"3.0",NA,"685.10625","budget",NA,NA,"8.75","7.5","10.0","10.87769375","6101.386806","10477.39462","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","large","52.16312255","115","71.12","28",NA,NA,NA,NA
"12","Australian Cattle Dog","herding","60.0","10.0","Brightest","<5",">95","11.67","11.0","hip problems","1.0","hip dysplasia","2.0","16456.68456","530","budget","250.0","1000.0","5.75","4.0","7.5","7.14819875","4352.619887","11374.06467","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","low","medium",NA,NA,"46.99","18.5",NA,NA,NA,NA
"13","Australian Shepherd","herding","24.0","42.0","Average","25-40",">50","12.28","641.0","deafness, hip problems","2.0","deafness, hip dysplasia","3.0","17313.73062","565","budget","250.0","1000.0","5.75","4.0","7.5","7.14819875","4580.134723","11968.5959","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","medium",NA,NA,"52.07","20.5",NA,NA,NA,NA
"14","Australian Terrier","terrier","121.0","34.0","Above average","15-25",">70","11.05","241.0","none","0.0","none","4.0","14476.83072","640","budget","200.0","900.0","4","4.0","4.0","4.97266","2867.043687","10769.78703","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","small",NA,NA,"26.67","10.5",NA,NA,NA,NA
"15","Basenji","hound","93.0","79.0","Lowest","80-100","<25","13.58","46.0","kidney, eye problems, anaemia","3.0","Fanconi syndrome, Persistent pupillary membranes (PPM), Pyruvate kinase (PK) deficiency","3.0","17899.1096","940","mid-price","600.0","1200.0","4","4.0","4.0","4.97266","3523.479934","13235.62967","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","medium","10.43262451","23","41.91","16.5",NA,NA,NA,NA
