"","Dog breed","category","datadog score","POPULARITY IN US","POPULARITY IN US","LIFETIME COST, $","5 LIFETIME COST","1 INTELLIGENCE (TRAINABILITY) ranking","INTELLIGENCE (TRAINABILITY) ranking","2 LONGEVITY","LONGEVITY","3 NO. OF GENETIC AILMENTS","GENETIC AILMENTS","4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$","5a grooming required","grooming required","5b suitability for children","suitability for children","ULTIMATE TOP DOG MEGA SCORE (with kids)","ULTIMATE TOP DATA DOG MEGA RANKING - without kids","ULTIMATE TOP DATA DOG MEGA RANKING - with kids","ULTIMATE TOP DOG MEGA SCORE","POPULAR RATING","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link","intelligence category","repetitions to understand new commands","obey first command (% of time)","longevity sample size - survey sample size","GENETIC DISEASES - congenital ailments: summary / areas affected","congenital ailments: summary / areas affected","4 LIFETIME COST, $","4 LIFETIME COST","average purchase price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $","Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","","","",""
"1","Border Collie","herding","3.64","45.0","39","20143.0","0.48","1.0","1","12.52","0.7931034483","2.0","0.7777777778","622.5","0.7126436782","324.439695","0.6781609195","2.0","0.75","3.0","0.0","4.016283525","1","29","3.641283525","45","medium",NA,NA,"50.8","20",NA,NA,NA,"Brightest","<5",">95","164.0","eye problems, deafness","Collie eye anomaly, deafness","16273.46114","0.4712643678","622.5","budget","175.0","1050.0","4","4.0","4.0","4.97266","259.4609672","3248.451309","12202.50983","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"2","Border Terrier","terrier","3.61","80.0","61","22638.0","0.14","30.0","0.7011494253","14.0","0.9770114943","0.0","1","833.333333333333","0.4367816092","324.439695","0.6781609195","2.0","0.75","1.0","1","4.985632184","2","1","3.610632184","80","small","6.123496995","13.5",NA,NA,NA,NA,NA,"Above average","15-25",">70","177.0","none","none","18310.76591","0.1149425287","833.3333333","mid-price","250.0","1200.0","4","4.0","4.0","4.97266","259.4609672","3632.45354","13644.97904","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"3","Brittany","sporting","3.54","30.0","30","22589.0","0.16","19.0","0.8045977011","12.92","0.8850574713","0.0","1","617.5","0.724137931","466.3820615625","0.2298850575","2.0","0.75","2.0","0.5","4.416666667","3","11","3.541666667","30","medium","15.87573295","35","48.26","19",NA,NA,NA,"Excellent","5-15",">85","28.0","none","none","18228.70518","0.1379310345","617.5","budget","300.0","1200.0","5.75","4.0","7.5","7.14819875","372.9751403","4818.838812","12592.36637","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"4","Cairn Terrier","terrier","3.53","59.0","48","21992.0","0.22","35.0","0.6091954023","13.84","0.9540229885","2.0","0.7777777778","435.0","0.9540229885","324.439695","0.6781609195","2.0","0.75","1.0","1","4.907088123","4","2","3.532088123","59","small","6.35029318","14.0","25.4","10.0",NA,NA,NA,"Above average","15-25",">70","156.0","'lion jaw', heart problems","Craniomandibular osteopathy (""lion jaw""), Mitral valve dysplasia","17714.97621","0.2298850575","435","budget","300.0","600.0","4","4.0","4.0","4.97266","259.4609672","3590.939785","13489.03642","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"5","Welsh Springer Spaniel","sporting","3.34","130.0","81","20224.0","0.47","31.0","0.6896551724","12.49","0.7701149425","1.0","0.8888888889","750.0","0.5517241379","324.439695","0.6781609195","2.0","0.75","1.0","1","4.713601533","5","4","3.338601533","130","medium",NA,NA,"45.72","18","only one dog for sale",NA,NA,"Above average","15-25",">70","172.0","hip problems","hip dysplasia","16363.93807","0.4597701149","750.0","mid-price","750.0","750.0","4","4.0","4.0","4.97266","259.4609672","3240.66748","12173.27059","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"6","English Cocker Spaniel","sporting","3.33","63.0","51","18993.0","0.63","18.0","0.816091954","11.66","0.5402298851","0.0","1","800.0","0.5172413793","324.439695","0.6781609195","2.0","0.75","1.0","1","4.704022989","6","5","3.329022989","63","medium","13.6077711","30","40.64","16",NA,NA,NA,"Excellent","5-15",">85","1199.0","none","none","15389.63313","0.6206896552","800","mid-price","600.0","1000.0","4","4.0","4.0","4.97266","259.4609672","3025.314877","11364.31826","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"7","Cocker Spaniel","sporting","3.3","27.0","27","24330.0","0.09","20.0","0.7931034483","12.5","0.7816091954","2.0","0.7777777778","465.0","0.9310344828","674.328965625","0.2068965517","2.0","0.75","1.0","1.0","4.671455939","7","6","3.296455939","27","small","11.33980925","25.0","36.83","14.5","American cocker spaniel",NA,NA,"Excellent","5-15",">85","-","eye, skin problems","Retinal dysplasia, seborrhea","18015.01623","0.1494252874","465","budget","250.0","800.0","-","-","-","7.9221875","413.3599383","5166.999229","12183.017","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","lifespan","http://www.yourdogsbreed.com/dog-breeds/100-cocker-spaniel.html","http://www.vetstreet.com/dogs/cocker-spaniel","http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/American-Cocker-Spaniel"
"8","Papillon","toy","3.26","38.0","33","21001.0","0.36","8.0","0.9195402299","13.0","0.8965517241","5.0","0.4444444444","740.0","0.5632183908","324.439695","0.6781609195","2.0","0.75","2.0","0.5","4.131226054","8","22","3.256226054","38","small",NA,NA,"24.13","9.5",NA,NA,NA,"Brightest","<5",">95","100.0","cataracts, hair loss, heart, eye, blood clotting disorders","Cataracts, Follicular dysplasias, Mitral valve dysplasia, Progressive retinal atrophy, von Willebrand's disease","16983.33025","0.367816092","740","mid-price","400.0","1000.0","4","4.0","4.0","4.97266","259.4609672","3372.992573","12670.33768","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"9","Australian Cattle Dog","herding","3.25","60.0","49","20395.0","0.43","10.0","0.8965517241","11.67","0.5517241379","1.0","0.8888888889","530.0","0.8505747126","466.3820615625","0.2298850575","2.0","0.75","3.0","0.0","3.627394636","9","52","3.252394636","60","medium",NA,NA,"46.99","18.5",NA,NA,NA,"Brightest","<5",">95","11.0","hip problems","hip dysplasia","16456.68456","0.4252873563","530","budget","250.0","1000.0","5.75","4.0","7.5","7.14819875","372.9751403","4352.619887","11374.06467","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"10","Shetland Sheepdog","herding","3.22","20.0","20","21006.0","0.34","6.0","0.9425287356","12.53","0.8045977011","5.0","0.4444444444","465.0","0.9310344828","404.597379375","0.632183908","1.0","0.5","1.0","1.0","4.473180077","11","8","3.223180077","20","small","10.15","22.0","36.83","14.5",NA,NA,NA,"Brightest","<5",">95","439.0","eye problems, deafness, skin + heart problems, blood clotting disorders","Collie eye anomaly (CEA), deafness, Dermatomyositis and ulcerative dermatosis, Patent ductus arteriosus (PDA), von Willebrand's disease","15984.89626","0.5172413793","465","budget","150.0","1000.0","-","-","-","4.7533125","248.015963","3107.640016","12212.25624","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,"http://www.vetstreet.com/dogs/shetland-sheepdog#grooming","http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Shetland-Sheepdog",NA
"11","Siberian Husky","working","3.22","16.0","16","22049.0","0.2","45.0","0.4482758621","12.58","0.8275862069","0.0","1","650.0","0.6666666667","466.3820615625","0.2298850575","3.0","1.0","1.0","1","4.724137931","10","3","3.224137931","16","medium","21.54563758","47.5","55.245","21.75","Longevity based on UK KC Survey 2004","UK Kennel Club survey 2004","http://www.thekennelclub.org.uk/item/549","Average","25-40",">50","129.0","none","none","17803.01557","0.1954022989","650","budget","450.0","1000.0","5.75","4.0","7.5","7.14819875","372.9751403","4692.027265","12260.98831","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
